"Username","group2","Reach"
"@2oceansaquarium","Outreach",7808
"@2pyarr","Public",185
"@2qte_mds","Public",85
"@2reviveus","Media",14537
"@2ritas","Scientists",89
"@2simpletech","Public",547
"@2smart2creative","Public",381
"@2starsandawish","Outreach",36
"@2thedorkside","Outreach",1091
"@2true2speak","Public",189
"@2xges","Public",44
"@300000km_s","Public",175
"@301n","Media",1695
"@30rockleapday16","Public",84
"@314225ani","Public",816
"@315sophie315","Public",18
"@333expeditions","Media",104
"@333raymond","Scientists",8
"@34carroll","Public",460
"@350_pdx","Public",624
"@350earth","Media",1572
"@350nola","Public",273
"@359efef24b074fe","Public",78
"@35thigc","Scientists",385
"@360divecenter","Public",524
"@365_togreen","Public",109
"@3655956","Public",23
"@365beautifulife","Public",88
"@365secretbeach","Public",857
"@3bs_education","Media",1463
"@3cliffsbayphoto","Public",521
"@3d_digi_si","Outreach",5189
"@3designer","Public",124
"@3dfilaments","Public",31927
"@3dkeysolutions","Public",567
"@3dosteology","Outreach",301
"@3dprintboardcom","Public",10996
"@3dprintgirl","Media",31483
"@3dprinting_pt","Public",1261
"@3drummers","Public",135
"@3dsbiovia","Public",2375
"@3epinosh","Scientists",0
"@3iunts","Public",416
"@3mmmod","Public",229
"@3mnewsroom","Public",57349
"@3of1","Public",302
"@3parent_baby","Media",3143
"@3rdfloortom","Scientists",16
"@3rdiphotography","Scientists",414
"@3rdiphotography","Media",414
"@3rdkingsland","Scientists",163
"@3rdkingsland","Media",163
"@3rdreviewer","Public",859
"@3sisters4bros","Public",841
"@3skatesnowsurf","Public",599
"@3sresearchgroup","Scientists",640
"@3starsquash","Scientists",150
"@4_sonny","Public",3001
"@4000sonnets","Public",125
"@403_forgettable","Public",706
"@4091f53db9554a0","Public",541
"@40commano","Scientists",80
"@40puddlejumper","Media",213
"@410lulu","Public",948
"@41un","Scientists",1406
"@41un","Media",1406
"@427896","Scientists",39
"@427mayela","Applied",285
"@44beverleye","Public",0
"@44k45h_5in9_r","Scientists",188
"@457kotler","Public",138
"@4589roger","Public",1103
"@45southside","Media",1924
"@47_carmen_","Public",190
"@4agreenplanet","Public",91
"@4amflowers","Media",309
"@4animalminds","Public",543
"@4apes","Applied",4142
"@4carmilla","Scientists",4021
"@4charitytweets","Applied",12962
"@4dc5","Public",1216
"@4ever_yoursrose","Scientists",6
"@4everwestphoto","Media",679
"@4fishgreenberg","Media",6584
"@4globalagape","Outreach",508
"@4greenergood","Public",98
"@4judemoon","Scientists",46
"@4justresilience","Scientists",248
"@4kgjerde","Public",228
"@4kidznosanity","Scientists",30
"@4lly4u5tin1","Public",12
"@4luvofhumor","Public",505
"@4me2liveisjesus","Scientists",49
"@4miles4water","Public",228
"@4mul8d","Media",2
"@4neotropicals","Applied",232
"@4numn","Public",110
"@4peatssake","Public",669
"@4reptiles","Public",307
"@4th_chamber","Scientists",17
"@4thearthrolove","Public",41
"@4thefox","Public",64
"@4theluvofrivers","Scientists",30
"@4tkk","Public",47
"@4vultures","Applied",506
"@4wildones","Public",561
"@4womeninscience","Applied",15005
"@500daysofariana","Public",50
"@50ishmen","Public",6771
"@57_degreesnorth","Media",101
"@58lespaul","Public",45
"@5acregeographic","Scientists",531
"@5brainybirds","Scientists",1430
"@5craicsofsummer","Public",917
"@5gyres","Media",10379
"@5litresofficial","Public",258
"@5mbmblogger","Public",1139
"@5spotltd","Media",23295
"@5sseymore5","Public",90
"@60aitch","Public",16
"@60s_aquaman","Public",49
"@612brisbane","Media",62778
"@61y4n6","Public",870
"@62microbus","Public",690
"@64by61","Public",11719
"@65degnorth","Public",4159
"@666immy666","Public",722
"@67_special","Scientists",142
"@693nelson","Public",59
"@6esm","Public",2570
"@6nshelton6","Public",69
"@6thwfc","Scientists",931
"@718outlaw","Public",83
"@720morrison","Outreach",108
"@7300_is","Public",278
"@74208555245","Scientists",79
"@75flyers","Public",488
"@777dream777","Public",526
"@77ezra","Public",73
"@77khurram","Scientists",68
"@77pimlicoroad","Public",381
"@78acc423f0244e1","Scientists",77
"@7anonz","Public",476
"@7daysinla","Public",549
"@7energycycle","Scientists",132
"@7homaslin","Scientists",1056
"@7maples","Public",473
"@7s_scitech","Scientists",10583
"@7s_stephanielam","Media",13868
"@7seasoffreedom","Public",224
"@7stringjerry","Public",615
"@7synapses","Scientists",783
"@7synapses","Media",783
"@80_proof_divers","Public",506
"@808kimchirunner","Public",20
"@815wrldtrvlr","Media",14037
"@81sergio","Public",50
"@84arzhakin","Public",272
"@84stillbatting","Media",42
"@87_gerard","Public",185
"@87andreas","Scientists",108
"@89helena_maria","Public",68
"@8crayonscience","Media",340
"@8leggedyogi","Scientists",25
"@8legs2fangs","Scientists",84
"@8taro5ume","Public",1793
"@90039fest","Public",571
"@90041rock","Media",2001
"@90snormmcdonald","Public",564
"@90stateevents","Public",713
"@91mattmoore","Scientists",565
"@94rooster1","Scientists",11
"@94rooster1","Media",11
"@95_katiewilko","Scientists",393
"@95jessicaharvey","Scientists",183
"@965orlando","Media",6046
"@965traffic","Media",1064
"@96elephants","Public",5907
"@97jop","Public",303
"@98louisguillot","Scientists",4
"@98point6","Public",1822
"@99mem99","Scientists",41
"@99scholars","Scientists",6243
"@9af0f531e5684db","Public",2850
"@9brandon","Media",7346
"@9dognight","Outreach",738
"@a_a_anderson","Scientists",353
"@a_aleyden","Outreach",243
"@a_b_world","Public",831
"@a_better_earth","Public",980
"@a_c_herman","Scientists",17
"@a_caligirl","Scientists",269
"@a_carbonell_","Scientists",117
"@a_cruickshank","Scientists",441
"@a_digiacomo_","Media",56
"@a_dissanayake","Scientists",227
"@a_evenden","Public",129
"@a_fakharany","Scientists",103
"@a_fragilis1877","Scientists",406
"@a_fucking_loser","Public",119
"@a_gaudinier","Scientists",81
"@a_gente","Scientists",104
"@a_globalvillage","Public",752
"@a_gowardbrown","Scientists",185
"@a_hettinger","Scientists",103
"@a_hryckowian","Public",33
"@a_j_dobson","Scientists",157
"@a_jewell15","Scientists",40
"@a_k_anderson","Public",3198
"@a_kberg","Scientists",21
"@a_kelly_ispca","Applied",3673
"@a_kraw","Public",116
"@a_lion_s","Public",41
"@a_luek","Scientists",74
"@a_m_laughton","Public",59
"@a_mandy_lynn","Scientists",58
"@a_mascarelli","Media",309
"@a_mastrogiacomo","Scientists",57
"@a_mcmillen","Public",162
"@a_muhametsafina","Scientists",228
"@a_nicole_king","Scientists",434
"@a_nonmouse","Public",197
"@a_treaclemine","Public",559
"@a_w_global","Public",14418
"@a_wall2","Scientists",134
"@a_whiteshark","Applied",6233
"@a00day","Scientists",36
"@a1000bees","Public",334
"@a11m0n","Public",222
"@a17zea96","Public",537
"@a1beetlegirl","Media",14
"@a1plt","Public",126
"@a2binny","Scientists",254
"@a2nipswich","Public",704
"@a2teem","Scientists",17
"@a325e926f99b437","Public",41
"@a517dogg","Public",116
"@aaa_fan_084","Public",263
"@aaandradepinto","Scientists",2028
"@aaap321","Scientists",157
"@aaasmeetings","Scientists",4967
"@aaasmember","Scientists",3325
"@aaberhe","Scientists",186
"@aabiologists","Scientists",704
"@aabirdclub","Scientists",153
"@aacomeault","Scientists",67
"@aacpl","Public",2621
"@aadaudi","Scientists",358
"@aadvantagegeek","Public",4762
"@aahanar","Public",2334
"@aahearn","Scientists",2119
"@aahincapie","Scientists",117
"@aaik","Outreach",232
"@aakash_lamba","Scientists",61
"@aakhmetz","Public",57
"@aalarkin","Scientists",58
"@aalechiarenza","Public",221
"@aaliyahclifton3","Public",40
"@aallington","Media",2850
"@aalvaradosegura","Scientists",16
"@aambivalnt","Public",22
"@aamcovenice","Public",2508
"@aandresen315","Scientists",184
"@aandriese","Public",1523
"@aaotwa","Public",4
"@aapgmanchester","Scientists",135
"@aapremlall","Outreach",8331
"@aapursch","Outreach",91
"@aaquaticsuk","Public",261
"@aar_dillon","Scientists",43
"@aarhh","Applied",809
"@aarjand","Public",386
"@aarker","Public",330
"@aarohall","Scientists",75
"@aaron_bender","Public",84
"@aaron_best","Scientists",546
"@aaron_m","Scientists",111
"@aaronacooke","Public",65
"@aaronbsheehan","Public",41
"@aaroncahill5","Public",7
"@aaronclauset","Scientists",2026
"@aaroncsmith","Public",142
"@aarondherridge","Scientists",326
"@aarondolsen","Public",187
"@aaronfreemanfox","Scientists",59
"@aaronfrench13","Public",205
"@aarongaroutte","Scientists",61
"@aarongoetz","Scientists",696
"@aaronhuertas","Media",912
"@aaronjgoodman","Scientists",419
"@aaronjonscott","Scientists",46
"@aaronjsams","Scientists",229
"@aaronleblanc6","Scientists",115
"@aaronliston","Public",374
"@aaronlmo","Scientists",16
"@aaronlstrong","Public",100
"@aaronlwells","Public",555
"@aaronmk0","Public",21
"@aaronpomerantz","Scientists",493
"@aaronpostma","Public",72
"@aaronramus","Scientists",12
"@aaronrhodesc","Scientists",187
"@aaronruesch","Public",22
"@aaronsagers","Media",20350
"@aaronshawzzam","Scientists",350
"@aaronstraight","Media",905
"@aarontheecolog","Scientists",583
"@aartmaren","Scientists",95
"@aasjournal","Scientists",142
"@aaswnp","Scientists",887
"@aatishb","Scientists",6912
"@aatishb","Media",6912
"@ab_medeora_quom","Public",153
"@ab_paleontology","Scientists",451
"@aba","Public",5475
"@ababujee","Public",223
"@abade_leandro","Scientists",163
"@abapna","Public",232
"@abarnes118","Scientists",35
"@abarnes118","Media",35
"@abarysh","Outreach",169
"@abaysurfresort","Public",213
"@abbeyerica","Scientists",57
"@abbeyperuzzi","Public",7
"@abbie2020","Public",527
"@abbiedbs","Scientists",130
"@abbiedbs","Media",130
"@abbieee_xoxo","Public",15
"@abbieheadon","Media",1474
"@abbiemjohnson","Scientists",41
"@abbieschapman","Scientists",187
"@abbiesongthrush","Public",286
"@abbilscott","Public",340
"@abbiodiversity","Public",870
"@abbotkinneyfest","Public",4180
"@abbottnature","Scientists",89
"@abbottnature","Media",89
"@abbugcounter","Scientists",2148
"@abbyabby92","Public",181
"@abbybuch","Scientists",67
"@abbynormal_58","Public",95
"@abbyobenchain","Media",740
"@abbyolena","Scientists",588
"@abbypersoon","Public",19
"@abbyvillegas","Scientists",595
"@abbyvrob","Media",152
"@abc_ciencia","Public",18674
"@abc4explore","Scientists",1426
"@abc4explore","Media",1426
"@abcbeernadines","Public",990
"@abcbirds1","Applied",7173
"@abccantarctica","Public",369
"@abcdefgina16","Public",220
"@abcfarnorth","Media",6687
"@abcfoodsafety","Scientists",1017
"@abclimoservice","Public",428
"@abcmidwestwa","Media",1160
"@abcnorthqld","Media",6444
"@abcsoka","Scientists",146465
"@abdallah_gee","Public",121
"@abdalmonam","Public",79
"@abdouh","Scientists",59
"@abdoukhila","Scientists",131
"@abdul_wakid","Scientists",48
"@abdullahsalih","Public",379
"@abdulsa03787451","Public",3
"@abeborker","Public",58
"@abehumboldt","Media",398
"@abeitaj","Scientists",59
"@abelaney","Public",1017
"@abell_v","Public",9
"@abelvaldivia","Media",858
"@abenne03","Public",116
"@abercountryside","Scientists",338
"@aberdeences","Scientists",1212
"@abernethyef","Scientists",12
"@abernobich","Scientists",39
"@aberron","Media",39353
"@abestreep","Media",2236
"@abetteryouorguk","Public",352
"@abgush","Public",13
"@abhaskjha","Public",429
"@abhat","Public",1325
"@abhayjeemaharaj","Public",318
"@abhennessey","Applied",167
"@abhiarnav_champ","Public",7
"@abhinandanshah","Public",181
"@abhinav_sur","Scientists",25
"@abhishekkbehl","Media",2526
"@abhishiwakoti","Public",303
"@abhithantry","Public",94
"@abiajar","Public",139
"@abiandtoms","Public",1961
"@abibarrows","Scientists",68
"@abiblandon","Scientists",36
"@abigailamey","Public",380
"@abigailatsea","Scientists",193
"@abigailnature","Scientists",479
"@abigailsgolden","Scientists",133
"@abigailspaul","Public",4059
"@abilitymatrix","Public",147
"@abipears","Public",385
"@abirdersguide","Public",1377
"@abistone","Scientists",370
"@abithramadevan","Scientists",238
"@abkaushikk","Public",303
"@able2move","Public",187
"@ablebestcorrect","Public",534
"@abo_kafr_kurdi","Public",438
"@abominableastro","Scientists",49
