Name,University,Handle,Tweets,Followers,Country,DaysSinceLastTweet,DateLastTweet,Last.tweet,ESDcheck_notes,Dat. joined,Month.joined,Year.joined,Months.total,Gender,Level,
Jared Byrnes,U Mass,@jebyrnes,5463,2863,US,0,30-Mar,20 h,,209,2,2009,74,m,Assistant,
Jennifer Bowen,U Mass,@BowenLab1,206,175,US,3,27-Mar,27-Mar,RT,614,6,2014,10,f,Associate,
Jesica Carilli,U Mass,@jess_carilli,5994,955,US,0,30-Mar,13 h,,1011,10,2011,42,f,Assistant,
Allen Gontz,U Mass,@AllenGontz,87,26,US,0,30-Mar,11h,,614,6,2014,10,m,Professor,
Neil Hammerschlag,U Miami,@DrNeilHammer,4843,3259,US,0,30-Mar,7h,,1011,10,2011,42,m,Assistant,
Meghan Duffy,U Michigan,@duffy_ma,13600,2833,US,0,30-Mar,2h,,112,1,2012,39,f,Associate,
Elizabeth Borer,U Minn,@e_borer,1157,519,US,2,28-Mar,28-Mar,,114,1,2014,15,f,Professor,
Chris Pires,U Missouri,@JChrisPires,43700,3490,US,0,30-Mar,21h,,611,6,2011,46,m,Professor,
Scott Collins,U New Mex,@ESA_Prez2013,235,509,US,2,28-Mar,28-Mar,,912,9,2012,31,m,Professor,
Alex Ford,U Portsmouth,@DrAlexFord,3597,590,UK,2,28-Mar,28-Mar,,112,1,2012,39,m,Professor,
Mark Bertness,U Rhode Island,@mbertness,644,420,US,7,23-Mar,23-Mar,*Mark Bertness has 2 Twitter accts - personal + lab,810,8,2010,56,m,Professor,
Michael Habib,U So Cal,@aeroevo,3835,913,US,0,30-Mar,12 h,,412,4,2012,36,m,Assistant,
Chris Stallings,U South FL,@fishecologylab,34,56,US,4,26-Mar,26-Mar,,1214,12,2014,4,m,Assistant,
Dave Patterson,U St Andrews,@marbef22,196,147,UK,0,30-Mar,22 h,RT,911,9,2011,43,m,Professor,
Mike Webster,U St Andrews,@mikemwebster,369,510,UK,0,30-Mar,16h,RT,1011,10,2011,42,m,Assistant,Lecturer
Garry Peterson,U Stockholm,@resilienceSci,4850,2983,Sweden,3,27-Mar,27-Mar,,910,9,2010,55,m,Professor,
Scott Merrill,U Vermont,@BugDoc_Scott,76,10,US,12,18-Mar,18-Mar,,811,8,2011,44,m,Assistant,
Carol Adair,U Vermont,@ecadair,830,183,US,0,30-Mar,5h,,1011,10,2011,42,f,Assistant,
Josh Neufeld,U Waterloo,@joshdneufeld,4544,2831,Canada,2,28-Mar,28-Mar,,311,3,2011,49,m,Professor,
Carlos Duarte,U West Austr,@duarteoceans,1071,1555,Australia,3,27-Mar,27-Mar,,313,3,2013,25,m,Professor,
Steve Carpenter,U Wisc,@FreshwaterSteve,1261,1232,US,0,30-Mar,11h,,711,7,2011,45,m,Professor,
Amanda Vincent,UBC,@AmandaVincent1,1785,1255,Canada,4,26-Mar,26-Mar,,511,5,2011,47,f,Professor,
Sarah Otto,UBC,@sarperotto,72,760,Canada,3,27-Mar,27-Mar,RT,514,5,2014,11,f,Professor,
Kai Chan,UBC,@KaiChanUBC,782,987,Canada,0,30-Mar,1h,,511,5,2011,47,m,Professor,
Mary O'Connor,UBC,@OConnorLab,71,142,Canada,0,30-Mar,21h,,614,6,2014,10,f,Associate,
Mary O'Connor,UBC,@mioconnor,306,288,Canada,2,28-Mar,28-Mar,,211,2,2011,50,f,Associate,
Douglas McCauley,UC Santa Barbara,@McCauley_Lab,164,359,US,11,19-Mar,19-Mar,,714,7,2014,9,m,Assistant,
Kate Jones,UCL,@ProfKateJones,1846,2197,UK,0,30-Mar,12h,,510,5,2010,59,f,Professor,
Bill Pawlik,UNC,@PawlikLab,361,338,US,8,22-Mar,22-Mar,RT,613,6,2013,22,m,Professor,
Jeff Corbin,Union College,@jeff_d_corbin,2602,542,UK,0,30-Mar,3h,,212,2,2012,38,m,Associate,
Fernando Maestre,University Rey Juan Carlos,@ftmaestre,1223,465,Spain,0,30-Mar,49 m,,712,7,2012,33,m,Associate,
David Warton,UNSW,@ecostats,412,372,Australia,4,26-Mar,26-Mar,,313,3,2013,25,m,Professor,
Amy Parachnowitsch,Uppsala U,@EvoEcoAmy,4723,1867,Sweden,3,27-Mar,27-Mar,,213,2,2013,26,f,Assistant,Researcher
Trevor Branch,UW,@TrevorABranch,17100,2815,US,0,30-Mar,19s,,1211,12,2011,40,m,Associate,
Jack Williams,U Wisc,@IceageEcologist,1678,1890,US,2,28-Mar,28-Mar,,311,3,2011,49,m,Professor,
Joel McGlothlin,V Tech,@joelmcglothlin,2912,1551,US,0,30-Mar,23 h,,110,1,2010,63,m,Assistant,
Cara Fiore,Woods Hole,@clfiore1,155,186,US,0,30-Mar,6h,,1214,12,2014,4,f,Assistant,
