"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@oceanearthuos","a community of worldleading academics students professionals united in our passion for ocean earth science national oceanography centre southampton",0,1,0,0,0,0,0,0,0,0,0
"@sukekim","i intend to live forever so far so good steven wright",0,0,0,0,0,0,0,0,0,0,1
"@metricausa","journalist producer chocolate movie fan editor at nature nature methods tweetsimho learning to code more founder seesaw vivienmarxgmailcom",0,0,0,0,0,0,1,0,0,0,0
"@samuelryde","hairdresser innit",0,0,0,0,0,0,0,0,0,0,1
"@lenarubensdoter","researcher geologista at norwegian geological survey ngu unis svalbard tweet geoscience geohazards arctic my fieldwork lovemyjob eng no",0,0,0,0,0,0,0,0,0,0,1
"@nlk467","i am interesting in hydrology climate change water resources vulnerability adaptation",0,0,0,1,0,0,0,0,0,0,0
"@wim68kort","manager hunebedcentrum mineralen fossielen crystal gems workshops",0,0,0,0,0,0,0,0,0,0,1
"@leigh_woods","living in my own imagination i write i dream i sparkle not always in that order",0,0,0,0,0,0,0,0,0,0,1
"@sr_escalante","http tco tt9rd46lca http tco gmazt4z2to",0,0,0,0,0,0,0,0,0,0,1
"@vtktorg","a hokie who is back home in blacksburg enjoying life i lean forward to the left",0,0,0,0,0,0,0,0,0,0,1
"@planetindon","marketbased solutions for conservation community development",0,0,0,0,0,0,0,0,0,0,1
"@spadia_lax","exclusive spa beauty fitness deals in los angeles get 20 off on your first booking when you join",0,0,0,0,0,0,0,0,0,0,1
"@paleodigatlas","visit the digital atlas of ancient life http tco wkl4mqrerj fossil paleontology evolution this account managed by jonathan hendricks deadsnails",0,0,0,1,0,0,0,0,0,0,0
"@mootspoints","phd student in archaeology stanford interested in human health disease in past populations stem education enthusiast",0,1,0,0,0,0,0,0,0,0,0
"@nickgrunseth","chief daybreak meteorologist wqow news 18 in eau claire wi a proud badger wisconsin alum",0,0,0,1,0,0,1,0,0,0,0
"@rusource","unbiased briefings about farming rural life retweets of stuff that interests or amuses me an arthur rank centre project",0,0,0,0,0,0,0,0,0,0,1
"@pleunipennings","evolution hiv drug resistance soft sweeps clinical data stochastic models sfsu have a look at my research in a video http tco w5nnrbml6f",0,0,0,1,0,0,0,0,0,0,0
"@nature_smart","making london nature smart working with londoners to enhance londons green infrastructure promote biodiversity sustainability increase wellbeing",0,0,0,0,0,0,0,0,0,0,1
"@snitemuseum","the snite museum of art provides opportunities to enjoy respond to learn from be inspired by original works of art at the university of notre dame",0,0,1,0,0,0,0,0,0,0,0
"@realsackedlunch","http tco smcwvwikss",0,0,0,0,0,0,0,0,0,0,1
"@student_bee","helping build the bridge between beekeepers students researchers local community sharing a general love of bees",0,0,0,0,0,0,0,0,0,0,1
"@proosts","postdoc scientist guitarist tinkerer mountainbiker",0,1,0,0,0,0,0,0,0,0,0
"@nfieldflyguy","runners at 1st 2nd less than 2 out a fly ball in fair territory playable with ordinary effort by an nfielderordinary effort is the key term here",0,0,0,0,0,0,0,0,0,0,1
"@oacevedocharry","colombian biologist graduate student at puerto rico i have fieldwork museum skills in ornithology also i try include public education in my research",0,1,0,0,0,0,0,0,0,0,0
"@naturespyuk","nonprofit social enterprise using camera traps to connect people wildlife tweets from the whole team shop http tco r5mls21mm3",0,0,0,0,0,0,0,1,0,0,0
"@kunjapur","chemical engineer mit upcoming postdoc in church lab harvardmed former copres mitenergyclub synbio energy eship longhorn",0,1,0,0,0,0,0,0,0,0,0
"@planktonpundit","scientist author speaker mad about plankton a secret world beneath the waves founder of the citizen science secchi disk study http tco 6scwl0yz25",0,1,0,0,0,0,0,0,0,0,0
"@profvonfischer","biology professor global change scientist fan of microbial ecology mapper of natural gas leaks ecosystem ecologist biogeochemist",1,0,0,0,0,0,0,0,0,0,0
"@ldapsis","general science geek professional entomologist specialist in the prevention of tickborne diseasesvery preventable ask me how",0,0,0,1,0,0,0,0,0,0,0
"@phelimb","genomic medicine statistics phd student in the zaminiqbal lab at wtchg university of oxford also cofounder of prolificac",0,1,0,0,0,0,0,0,0,0,0
"@richardhorton1","welcome to a permanent attack on the present",0,0,0,0,0,0,0,0,0,0,1
"@pursuitwhale","interested wildlife marine mammal science conservation bioacoustics creative writing independent films diving hiking kayaking",0,0,0,0,0,0,1,0,0,0,0
"@scottfixman","thoughts so interesting you cant afford to not follow",0,0,0,0,0,0,0,0,0,0,1
"@natnetnews","news about nature publishing groups communities activities",0,0,0,0,0,0,1,0,0,0,0
"@petguideusa","the ultimate pet resource guide directory http tco wshhfrcgm9 also if you like our twitter you might love our facebook page http tco ra6znalrj6",0,0,0,0,0,0,0,0,0,0,1
"@wulate","a kind of computer scientist father of one who got into biodiversity informatics 15 years ago then flew from cr to work for global bhl from mbgs cbi",0,0,0,1,0,0,0,0,0,0,0
"@yestofiu","friends of higher education supporters of ourmiami parents of future generations community members of miamidade yestofiu",0,0,0,0,0,0,0,0,0,0,1
"@mlambopatrick","editor founder sciencemattersmscience writer science advocatebut also a critic originally frm rustenburg",0,0,0,0,0,0,1,0,0,0,0
"@nuhsoruk","b35059",0,0,0,0,0,0,0,0,0,0,1
"@wayuphi","hi",0,0,0,0,0,0,0,0,0,0,1
"@marinelifectr","rehabilitating stranded sea turtles seals dolphins porpoises whales advancing scientific knowledge education in marine wildlife health conservation",0,0,0,0,0,0,0,0,0,0,1
"@klaus_schlp","postdoctoral researcher",0,1,0,0,0,0,0,0,0,0,0
"@melittologist","i love bee biology evolution bicycling my wife daughter",0,0,0,1,0,0,0,0,0,0,0
