"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@cretaegus","ecology geek roleplaying boardgame geek scifi geek real ale geek despite being so cool i am also a husband father",0,0,0,1,0,0,0,0,0,0,0
"@archington_1991","zoology graduate of ucc studying msc in computational methods in ecology evolution at imperial college london love dogs mangos otters that can dance",0,1,0,0,0,0,0,0,0,0,0
"@fossilsandfilms","animation student at columbia college chicago volunteer in the geology department at the field museum",0,1,0,0,0,0,0,0,0,0,0
"@judykwalker","writer science geek lover of limu lychee alliteration author of the sydney brennan mysteries",0,0,0,0,0,0,1,0,0,0,0
"@cullen_thomas","phd student at the university of toronto researching palaeobiology plaid shirt enthusiast studier of ancient life http tco ywlj0vxss9",0,1,0,0,0,0,0,0,0,0,0
"@edencotteejones","dphil candidate school of geography the environment university of oxford",0,1,0,0,0,0,0,0,0,0,0
"@gretch_jukebox","secret agent motorcycle amateur dreamstomper hurricanes caniac doglover bar fly ninja assassin",0,0,0,0,0,0,0,0,0,0,1
"@billybenzz","just dodging astroids",0,0,0,0,0,0,0,0,0,0,1
"@adelina1984","conservation biologist working with pangolins small carnivores http tco 9fh0quxojx",0,0,0,1,0,0,0,0,0,0,0
"@avflox","science sex thankyou notes have written for la times village voice la weekly vice gizmodo",0,0,0,0,0,0,0,0,0,0,1
"@karenjeanhood","author poet freelance writer researcher child advocate feminist teacher literacy advocate cook food writer wife mom of 16 great kids foster kids",0,0,0,0,1,0,0,0,0,0,0
"@gregstoneci","marine biologist author explorer 8000 dives evp head of science oceans for conservationorg working every day to protect nature people",0,0,0,1,0,0,1,1,0,0,0
"@andrewxhill","former biologist developer mapper now an explorer of things cartodb",0,0,0,1,0,0,0,0,0,0,0
"@debbiespenard","this account is locked pls use my new account debbiespenardl an ass has hacked this account",0,0,0,0,0,0,0,0,0,0,1
"@jensmischief","communications professional trying to make the world a fairer place currently engaging londons youth in sustainable behaviour active participation",0,0,0,0,0,0,1,0,0,0,0
"@esa_titles","talk titles from esa2015 in an alternate universe created by noamross using davidjayharriss titlebot not affiliated with esaorg no robot section yet",0,0,0,0,0,0,0,0,0,0,1
"@eduardopareja","ceo founder at era7 bioinformatics",0,0,0,1,0,0,0,0,0,0,0
"@blueyouag","blueyou is an internationally recognized consulting service company focused on sustainable fisheries aquaculture their related seafood supply chains",0,0,0,0,0,0,0,0,0,0,1
"@hihinews","integrating science conservation of threatened island endemic birds institute of zoology hihi group tweets by john ewen patricia brekke students",0,1,0,0,0,0,0,0,0,0,0
"@hayleygrainger","broadcast journalist for heartwestnews heartglosnews heartwiltsnews addicted to shopping chocolate all views are my own",0,0,0,0,0,0,1,0,0,0,0
"@aelawild","an up coming wildlife biologist with a passion for animals wildlife a love of being outdoors im a naturalist a conservationist student of nature",0,1,0,0,0,0,0,0,0,0,0
"@birdoculars","avid birder blogger helping others create their own back yard sanctuaries its already there you just have to uncover it",0,0,0,0,0,0,1,1,0,0,0
"@2014techgirl","ceo of go girls engineering movementweb developperweb graphic designerpassionated about astronomy astrophysicspractice modern classic dance",0,0,0,1,0,0,0,0,0,0,0
"@alisonappling",NA,0,0,0,0,0,0,0,0,0,1,0
"@janehardingexe","international alumni events at university of exeter cyclist beekeeper gardener loves travel nature outdoors craft food tweeting my own views",0,0,0,0,0,0,0,0,0,0,1
"@eziahp","ezia athletic club is the fitness industry leader in delivering fun results driven programs fitness training gym wellness physicaltherapy",0,0,0,0,0,0,0,0,0,0,1
"@cpappas","founder of the elearning industrys network elearning blogger edutechpreneur elearning analyst speaker social media addict",0,0,0,0,0,0,1,0,0,0,0
"@gcccop20",NA,0,0,0,0,0,0,0,0,0,1,0
"@jamesbeissel","wildlife photographer on a quest to photograph the mammals of colorado beyond",0,0,0,0,0,0,1,0,0,0,0
"@katelyngeleynse",NA,0,0,0,0,0,0,0,0,0,1,0
"@boardshortsben","cofounder of projectseagrass marine ecologist aspiring adventurer photographer",0,0,0,1,0,0,1,0,0,0,0
"@generaenergy","genera energy inc supplies biomass feedstocks for the advanced biofuels biopower biochemical industries",0,0,0,0,0,0,0,0,0,0,1
"@bonuseventusag","bonus eventus bountiful food agriculture",0,0,0,0,0,0,0,0,0,0,1
"@adorabledian","i am a happy woman ",0,0,0,0,0,0,0,0,0,0,1
"@kimcormack","authormom lover of immature shenanigans dystopian paranormal romance children of ankh series sweet sleep enlightenment http tco h0zrhrykn5",0,0,0,0,0,0,0,0,0,0,1
"@calvoroy","periodista cientifico desde mediados de los 80 voy y vengo de una trinchera a otra presido la aecomcientifica http tco tpbpm7m1",0,0,0,0,0,0,1,0,0,0,0
"@katekatebear","cofounder of bmoretoned toneitup underamour ambassador surfsetfitness instructor natlaquarium media mgr lover of croissants sunshine ",0,0,1,0,0,0,0,0,0,0,0
"@domedward1","evolutionary biologist at liverpool uk sexual selection sexual conflict sperm competition mate choice works with small mammals exdrosophilist rphile",0,0,0,1,0,0,0,0,0,0,0
"@didacticd","didactic discourse is a showcase of young minds reviewing current trends news we are a group of designers looking for an outlet",0,0,0,0,0,0,1,0,0,0,0
"@astridsrsly","ocean cetacean aficionado animal lover blackfish emptythetanks captivitykills opkillingbay opseaworld",0,0,0,0,0,0,0,0,0,0,1
"@beatsnz","hod science edean at waiau area school",0,0,0,0,0,0,0,0,0,0,1
"@attenomis21","ecohydrology biogeochemistry fluid mechanics of environmental interfaces",0,0,0,1,0,0,0,0,0,0,0
"@bookshrike","books birds balls of the tennis variety",0,0,0,0,0,0,0,0,0,0,1
"@jackdunkley1",NA,0,0,0,0,0,0,0,0,0,1,0
"@k_d_jones","executive dean of science engineering cyber security researcher",1,0,0,0,0,0,0,0,0,0,0
"@cerystrayner","planning an expedition wild camping hiking in the 42 wild land areas of scotland http tco j075kfoygn",0,0,0,0,0,0,0,0,0,0,1
"@fatimafoflonker","phd candidate microbial biology rutgers",0,1,0,0,0,0,0,0,0,0,0
"@katelaskowski","behavioral ecologist beer drinker",0,0,0,1,0,0,0,0,0,0,0
"@halford1nigel",NA,0,0,0,0,0,0,0,0,0,1,0
"@dr4aj4eva","mother of 3 lovely children engaged to andrew johnson animal lover born again christian",0,0,0,0,0,0,0,0,0,0,1
"@greencollarvet","support us as we work to transition our veterans from the active duty services into sustainable green careers",0,0,0,0,0,0,0,0,0,0,1
"@drrichsmith","sensory physiologist openaccess science fan hs stem outreach mentor current nsf grf umd",0,0,0,1,0,0,0,0,0,0,0
"@elgazette","news for the english as a foreign language teaching english medium education industries worldwide matt salusbury does the tweets assisted by claudia",0,0,0,0,1,0,0,0,0,0,0
"@basham8888","operative",0,0,0,0,0,0,0,0,0,0,1
"@jwfondon3",NA,0,0,0,0,0,0,0,0,0,1,0
"@biomedoutfitter",NA,0,0,0,0,0,0,0,0,0,1,0
"@alisoncharvey1",NA,0,0,0,0,0,0,0,0,0,1,0
"@ccforgy","incoherent thoughts on quantum coherence other points of interest",0,0,0,0,0,0,0,0,0,0,1
"@bakercom1","im a prolific freelance journalist author aka a workaholic suffering from intense curiosity in all things http tco hf3yxanv",0,0,0,0,0,0,1,0,0,0,0
"@jayfamiglietti","hydrologist nasa jpl senior water scientist uc irvine professor",1,0,0,0,0,0,0,0,0,0,0
"@andreilopuchin",NA,0,0,0,0,0,0,0,0,0,1,0
"@graciebrazilian","brazilian jiu jitsu classes gym for women kids gracie sydney alexandria provides jiu jitsu training in sydney australia",0,0,0,0,0,0,0,0,0,0,1
